,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
24,0.0051958560943603516,0.0003166722561694763,0.0,0.0,gini,auto,2,5,1600,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 1600}",,,,,,,,181
25,0.0051056861877441405,0.00031264737993141065,0.0,0.0,gini,auto,2,10,100,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,,,181
26,0.005065155029296875,0.0002384328074978006,0.0,0.0,gini,auto,2,10,200,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",,,,,,,,181
27,0.005123281478881836,0.0004968106282928531,0.0,0.0,gini,auto,2,10,400,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}",,,,,,,,181
28,0.0049670696258544925,0.00010155238920213292,0.0,0.0,gini,auto,2,10,800,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 800}",,,,,,,,181
29,0.005003595352172851,0.00019168311676027842,0.0,0.0,gini,auto,2,10,1600,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 1600}",,,,,,,,181
30,0.005288553237915039,0.000242644078053056,0.0,0.0,gini,auto,4,2,100,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",,,,,,,,181
31,0.005090236663818359,7.509723528035885e-05,0.0,0.0,gini,auto,4,2,200,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",,,,,,,,181
32,0.005013608932495117,0.00010067472305206751,0.0,0.0,gini,auto,4,2,400,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 400}",,,,,,,,181
33,0.005573844909667969,0.0006602294180201247,0.0,0.0,gini,auto,4,2,800,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 800}",,,,,,,,181
34,0.005073451995849609,0.00018086909235823288,0.0,0.0,gini,auto,4,2,1600,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 1600}",,,,,,,,181
35,0.0049517154693603516,0.00015902880245611802,0.0,0.0,gini,auto,4,5,100,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",,,,,,,,181
36,0.005232572555541992,0.00048616465574084766,0.0,0.0,gini,auto,4,5,200,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",,,,,,,,181
37,0.0052417278289794925,0.00015945926514935487,0.0,0.0,gini,auto,4,5,400,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 400}",,,,,,,,181
38,0.005155372619628906,0.00010393173153322114,0.0,0.0,gini,auto,4,5,800,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 800}",,,,,,,,181
39,0.005025196075439453,0.00020234636357487748,0.0,0.0,gini,auto,4,5,1600,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 1600}",,,,,,,,181
40,0.005307912826538086,0.00031946274720070144,0.0,0.0,gini,auto,4,10,100,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,,,181
41,0.005062627792358399,0.00012350850099835495,0.0,0.0,gini,auto,4,10,200,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",,,,,,,,181
42,0.005023860931396484,0.0001461504411930003,0.0,0.0,gini,auto,4,10,400,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 400}",,,,,,,,181
43,0.005192232131958008,0.0004799163911698885,0.0,0.0,gini,auto,4,10,800,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 800}",,,,,,,,181
44,0.005053663253784179,0.00024016629510760666,0.0,0.0,gini,auto,4,10,1600,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 1600}",,,,,,,,181
45,0.004938983917236328,0.00025596202038246914,0.0,0.0,gini,auto,8,2,100,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 100}",,,,,,,,181
46,0.005366468429565429,0.00037324550318389903,0.0,0.0,gini,auto,8,2,200,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 200}",,,,,,,,181
47,0.005213642120361328,0.00013300403049213298,0.0,0.0,gini,auto,8,2,400,"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 400}",,,,,,,,181
